,power,scenario,key,val
169,AUS,Eng_Fra_LSP,5,100.0
170,ITA,Eng_Fra_LSP,5,100.0
171,FRA,Eng_Fra_LSP,5,100.0
172,GER,Eng_Fra_LSP,5,100.0
173,RUS,Eng_Fra_LSP,5,100.0
174,TUR,Eng_Fra_LSP,5,100.0
175,ENG,Eng_Aus_LSP,1,2.0
176,AUS,Eng_Aus_LSP,1,98.0
177,ITA,Eng_Aus_LSP,1,2.0
178,FRA,Eng_Aus_LSP,1,1.0
179,GER,Eng_Aus_LSP,1,1.0
180,RUS,Eng_Aus_LSP,1,1.0
181,TUR,Eng_Aus_LSP,1,2.0
182,ENG,Eng_Aus_LSP,2,0.0
183,AUS,Eng_Aus_LSP,2,98.0
184,ITA,Eng_Aus_LSP,2,0.0
185,FRA,Eng_Aus_LSP,2,0.0
186,GER,Eng_Aus_LSP,2,0.0
187,RUS,Eng_Aus_LSP,2,0.0
188,TUR,Eng_Aus_LSP,2,0.0
189,ENG,Eng_Aus_LSP,3,2.0
190,AUS,Eng_Aus_LSP,3,0.0
191,ITA,Eng_Aus_LSP,3,2.0
192,FRA,Eng_Aus_LSP,3,1.0
193,GER,Eng_Aus_LSP,3,1.0
194,RUS,Eng_Aus_LSP,3,1.0
195,TUR,Eng_Aus_LSP,3,2.0
196,ENG,Eng_Aus_LSP,4,0.0
197,AUS,Eng_Aus_LSP,4,26.23469387755102
198,ITA,Eng_Aus_LSP,4,0.0
199,FRA,Eng_Aus_LSP,4,0.0
200,GER,Eng_Aus_LSP,4,0.0
201,RUS,Eng_Aus_LSP,4,0.0
202,TUR,Eng_Aus_LSP,4,0.0
203,ENG,Eng_Aus_LSP,5,100.0
204,AUS,Eng_Aus_LSP,5,0.0
205,ITA,Eng_Aus_LSP,5,100.0
206,FRA,Eng_Aus_LSP,5,100.0
207,GER,Eng_Aus_LSP,5,100.0
208,RUS,Eng_Aus_LSP,5,100.0
209,TUR,Eng_Aus_LSP,5,100.0
210,ENG,Eng_Tur_LSP,1,59.0
211,AUS,Eng_Tur_LSP,1,36.0
212,ITA,Eng_Tur_LSP,1,26.0
213,FRA,Eng_Tur_LSP,1,39.0
214,GER,Eng_Tur_LSP,1,20.0
